SP;PV;CV;Auto
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;12.980062;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.370063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.400063;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
60;13.310062;0;0
